Country,Year,GDP_per_capita
Mexico,1994,8623.48043007968
Mexico,1995,7970.64038496182
Mexico,1996,8320.65295694833
Mexico,1997,8770.84481553539
Mexico,1998,9161.89527783381
Mexico,1999,9264.97729259968
Mexico,2000,9581.96970210753
Mexico,2001,9398.35074355724
Mexico,2002,9242.27886130016
Mexico,2003,9221.99666693097
Mexico,2004,9421.28975988024
Mexico,2005,9491.51730225718
Mexico,2006,9813.8280424425
Mexico,2007,9877.69532644737
Mexico,2008,9826.3421836048
Mexico,2009,9074.1188145564
Mexico,2010,9389.06722084275
Mexico,2011,9575.93437788582
Mexico,2012,9782.51776305354
Mexico,2013,9738.71059803658
Mexico,2014,9862.48125444199
Mexico,2015,10021.2386118827
Mexico,2016,10100.5021214015
Mexico,2017,10193.7727193457
Mexico,2018,10296.8690937052
Mexico,2019,10159.4448355881
Mexico,2020,9234.64362485294
Mexico,2021,9728.05680032556
Mexico,2022,10011.2545383826
Mexico,2023,10241.8945112994
South Korea,1990,9367.09258686755
South Korea,1991,10274.4827454694
South Korea,1992,10798.561680692
South Korea,1993,11424.5851330612
South Korea,1994,12358.5180229628
South Korea,1995,13411.1119170158
South Korea,1996,14332.1367231987
South Korea,1997,15074.4883429924
South Korea,1998,14198.386270755
South Korea,1999,15714.4119484746
South Korea,2000,16995.5591864626
South Korea,2001,17684.0503773277
South Korea,2002,18940.3842233935
South Korea,2003,19435.4934104303
South Korea,2004,20364.7599656771
South Korea,2005,21197.1990880347
South Korea,2006,22196.2077459266
South Korea,2007,23365.1402064812
South Korea,2008,23887.0595538423
South Korea,2009,23952.8132191069
South Korea,2010,25455.6174843658
South Korea,2011,26191.6442615421
South Korea,2012,26680.275444870502
South Korea,2013,27399.6159477521
South Korea,2014,28100.0102759544
South Korea,2015,28737.4391706499
South Korea,2016,29467.124342556
South Korea,2017,30312.8888500809
South Korea,2018,31059.2668087927
South Korea,2019,31645.9498343307
South Korea,2020,31378.1579340648
South Korea,2021,32771.0724243229
South Korea,2022,33690.3788793046
South Korea,2023,34121.0211756766
Spain,1990,19174.7708317507
Spain,1991,19612.9766061335
Spain,1992,19698.5117502208
Spain,1993,19394.4931363836
Spain,1994,19762.3886330259
Spain,1995,20217.9031882287
Spain,1996,20658.8402740028
Spain,1997,21310.4311931636
Spain,1998,22135.4044960606
Spain,1999,23017.8387781684
Spain,2000,24106.8818441389
Spain,2001,24878.3784411461
Spain,2002,25205.3154727214
Spain,2003,25481.1653817075
Spain,2004,25825.3106522135
Spain,2005,26294.4473727979
Spain,2006,26899.0921510778
Spain,2007,27338.7954165547
Spain,2008,27112.5262998815
Spain,2009,25860.8142643369
Spain,2010,25766.2515889226
Spain,2011,25510.5579601069
Spain,2012,24763.5682703688
Spain,2013,24490.2279309777
Spain,2014,24937.0366118341
Spain,2015,25969.8383138327
Spain,2016,26704.3435828513
Spain,2017,27413.3287630157
Spain,2018,27947.3177652619
Spain,2019,28291.6306843873
Spain,2020,25073.7209751005
Spain,2021,26721.1481805453
Spain,2022,28168.3670415397
Spain,2023,28569.8436482338
Sweden,1990,34902.9205848639
Sweden,1991,34268.5547150561
Sweden,1992,33673.4365945351
Sweden,1993,32786.8795033975
Sweden,1994,33861.971357929
Sweden,1995,35063.9008956006
Sweden,1996,35604.9683604031
Sweden,1997,36675.2077147134
Sweden,1998,38211.1186220399
Sweden,1999,39785.3801572029
Sweden,2000,41561.0967168749
Sweden,2001,42013.7004264801
Sweden,2002,42831.0188619575
Sweden,2003,43474.579217835
Sweden,2004,45113.8308513761
Sweden,2005,46188.8411079246
Sweden,2006,48077.4408695625
Sweden,2007,49261.2399453051
Sweden,2008,48427.7563778
Sweden,2009,45973.5537675417
Sweden,2010,48204.6580784176
Sweden,2011,49355.6899419737
Sweden,2012,48788.8671231037
Sweden,2013,48927.5973053354
Sweden,2014,49556.7005007699
Sweden,2015,51197.9529341175
Sweden,2016,51746.6969632478
Sweden,2017,51985.932464245
Sweden,2018,52363.3829181296
Sweden,2019,53156.8613091273
Sweden,2020,51715.78104096
Sweden,2021,54458.3535600817
Sweden,2022,54878.2919511876
Sweden,2023,54449.7982042953
